id;url;keywords_table_id;keyword;positive_term;Date
1;https://www.cnn.gr/;368;Ελλάδα;πολιτισμός;2019-09-20 01:22:37;
2;http://www.sport-fm.gr;374;Ελλάδα;κέρδος;2019-09-20 01:22:38;
3;https://www.kathimerini.gr;702;ΚΕΘΕΑ;θαύμα;2019-10-05 12:13:16;
